Wavelength (nm)	n	k
831.843872	2.603638	0.02645
833.419556	2.602041	0.026366
834.995117	2.60045	0.026282
836.570618	2.598867	0.026199
838.146118	2.597291	0.026117
839.721375	2.595723	0.026035
841.296692	2.594162	0.025953
842.871887	2.592607	0.025872
844.44696	2.59106	0.025792
846.021973	2.58952	0.025712
847.596863	2.587987	0.025633
849.171753	2.586461	0.025554
850.74646	2.584941	0.025476
852.321106	2.583429	0.025398
853.895691	2.581923	0.025321
855.470215	2.580425	0.025245
857.044556	2.578933	0.025168
858.618835	2.577448	0.025093
860.193054	2.57597	0.025018
861.767212	2.574498	0.024943
863.341187	2.573033	0.024869
864.915161	2.571574	0.024796
866.489075	2.570122	0.024723
868.062805	2.568677	0.02465
869.636414	2.567239	0.024578
871.210083	2.565806	0.024506
872.783508	2.56438	0.024435
874.356934	2.562961	0.024364
875.930176	2.561548	0.024294
877.503418	2.560141	0.024224
879.076538	2.55874	0.024155
880.649536	2.557346	0.024086
882.222473	2.555958	0.024018
883.795288	2.554576	0.02395
885.368042	2.553201	0.023882
886.940613	2.551831	0.023815
888.513184	2.550468	0.023748
890.085632	2.549111	0.023682
891.65802	2.54776	0.023616
893.230286	2.546414	0.023551
894.802429	2.545075	0.023486
896.374512	2.543742	0.023421
897.946472	2.542414	0.023357
899.518372	2.541093	0.023293
901.090149	2.539777	0.02323
902.661804	2.538467	0.023167
904.233398	2.537163	0.023104
905.804871	2.535865	0.023042
907.376282	2.534572	0.02298
908.947571	2.533285	0.022919
910.518738	2.532004	0.022857
912.089844	2.530729	0.022797
913.660828	2.529459	0.022736
915.23175	2.528194	0.022677
916.802551	2.526936	0.022617
918.373169	2.525682	0.022558
919.943726	2.524434	0.022499
921.514282	2.523192	0.02244
923.084656	2.521955	0.022382
924.654907	2.520724	0.022324
926.225098	2.519497	0.022267
927.795227	2.518277	0.02221
929.365112	2.517061	0.022153
930.935059	2.515851	0.022097
932.504761	2.514646	0.022041
934.074524	2.513446	0.021985
935.644043	2.512252	0.021929
937.213501	2.511062	0.021874
938.782837	2.509878	0.021819
940.352051	2.508699	0.021765
941.921204	2.507525	0.021711
943.490234	2.506356	0.021657
945.059204	2.505193	0.021604
946.628052	2.504034	0.02155
948.196777	2.50288	0.021498
949.76532	2.501731	0.021445
951.333862	2.500587	0.021393
952.902222	2.499448	0.021341
954.470581	2.498314	0.021289
956.038757	2.497185	0.021238
957.606812	2.49606	0.021187
959.174805	2.49494	0.021136
960.742676	2.493825	0.021085
962.310425	2.492715	0.021035
963.878052	2.49161	0.020985
965.445618	2.490509	0.020936
967.013	2.489413	0.020886
968.580261	2.488322	0.020837
970.147583	2.487235	0.020789
971.714661	2.486153	0.02074
973.281555	2.485076	0.020692
974.84845	2.484003	0.020644
976.415222	2.482934	0.020596
977.981812	2.48187	0.020549
979.548462	2.480811	0.020501
981.114868	2.479756	0.020455
982.681152	2.478706	0.020408
984.247375	2.477659	0.020362
985.813354	2.476618	0.020315
987.379395	2.47558	0.020269
988.94519	2.474548	0.020224
990.510925	2.473519	0.020178
992.076538	2.472495	0.020133
993.64209	2.471475	0.020088
995.20752	2.470459	0.020044
996.772766	2.469447	0.019999
998.338013	2.46844	0.019955
999.903015	2.467437	0.019911
1012.407715	2.459568	0.019569
1015.778931	2.457489	0.019479
1019.150757	2.455429	0.01939
1022.523254	2.453386	0.019302
1025.896484	2.45136	0.019215
1029.270264	2.449352	0.019129
1032.644897	2.44736	0.019043
1036.020142	2.445385	0.018959
1039.395996	2.443427	0.018876
1042.772583	2.441485	0.018793
1046.14978	2.439559	0.018712
1049.52771	2.43765	0.018631
1052.90625	2.435756	0.018551
1056.285522	2.433878	0.018472
